               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093027,             0.03991,            0.050025,             0.53061,            0.068627,            0.020773,           0.0040107,            0.073299,            0.019854,            0.037953,              0.0027,              0.0027,              0.0757
                   1,            0.062547,             0.04075,            0.028197,             0.67383,             0.17423,             0.20247,            0.070611,            0.056969,            0.017298,            0.026871,           0.0054818,           0.0054818,            0.050482
                   2,            0.061189,            0.035594,            0.011996,             0.18791,             0.40789,             0.15678,            0.070306,            0.063359,            0.020051,            0.019521,           0.0082452,           0.0082452,            0.025245
                   3,            0.056076,            0.034243,           0.0077842,            0.044143,             0.44896,            0.078644,            0.020169,            0.075407,            0.034602,            0.061362,            0.009901,            0.009901,            0.009901
                   4,            0.050159,            0.034213,           0.0071822,             0.64559,             0.21439,             0.24761,             0.06444,            0.061508,            0.021489,            0.020547,            0.009901,            0.009901,            0.009901
                   5,            0.046915,            0.033981,           0.0057889,             0.34011,             0.47044,             0.32723,             0.10177,            0.053197,            0.021628,            0.012498,            0.009868,            0.009868,            0.009868
                   6,            0.045015,            0.032997,           0.0051435,             0.54884,             0.28997,             0.30171,             0.12084,            0.057014,            0.016654,            0.034514,            0.009835,            0.009835,            0.009835
                   7,            0.044148,            0.033348,           0.0046876,             0.41309,            0.093137,            0.035325,           0.0092599,            0.088842,            0.019137,            0.032094,            0.009802,            0.009802,            0.009802
                   8,            0.043044,            0.032549,           0.0040155,             0.55488,             0.50076,             0.46696,             0.15775,            0.045873,            0.016676,           0.0069269,            0.009769,            0.009769,            0.009769
                   9,            0.041777,            0.032877,           0.0034313,             0.47066,             0.53856,             0.54544,             0.24913,            0.041338,            0.016066,           0.0014861,            0.009736,            0.009736,            0.009736
                  10,             0.04187,            0.032294,           0.0031733,             0.41648,              0.6592,             0.53686,             0.23876,            0.043442,            0.014217,            0.002126,            0.009703,            0.009703,            0.009703
                  11,            0.040516,            0.033337,           0.0031957,             0.47346,             0.40312,             0.39309,             0.18322,            0.045096,            0.015946,            0.012085,             0.00967,             0.00967,             0.00967
                  12,            0.040321,            0.032549,           0.0030116,             0.55884,              0.7462,             0.68648,             0.29416,            0.042213,            0.013505,           0.0027671,            0.009637,            0.009637,            0.009637
                  13,            0.038965,            0.032284,           0.0030094,             0.48723,             0.78188,             0.68302,              0.2825,            0.039098,            0.015199,           0.0014362,            0.009604,            0.009604,            0.009604
                  14,            0.039356,            0.032367,           0.0025162,             0.58148,             0.69405,             0.67821,             0.31117,            0.043192,            0.016117,           0.0015747,            0.009571,            0.009571,            0.009571
                  15,            0.039074,            0.031391,           0.0029861,             0.52389,             0.62539,             0.62872,             0.25043,            0.045435,             0.01489,           0.0016994,            0.009538,            0.009538,            0.009538
                  16,            0.039176,            0.031748,           0.0027096,             0.52127,             0.78422,             0.70192,             0.28592,            0.041012,            0.015568,           0.0015758,            0.009505,            0.009505,            0.009505
                  17,            0.038556,            0.031603,           0.0030309,             0.42143,             0.64013,             0.55378,             0.27312,            0.042689,            0.013859,           0.0040513,            0.009472,            0.009472,            0.009472
                  18,             0.03777,            0.031351,           0.0025809,             0.34808,             0.74524,             0.53755,             0.21181,            0.040651,            0.014544,           0.0012545,            0.009439,            0.009439,            0.009439
                  19,            0.037645,            0.031808,           0.0021152,             0.69283,             0.57383,              0.6048,             0.27202,            0.036082,            0.015403,          0.00094208,            0.009406,            0.009406,            0.009406
                  20,            0.037146,            0.031432,           0.0024596,             0.62774,             0.50989,              0.5991,             0.27809,            0.039864,            0.013877,           0.0019135,            0.009373,            0.009373,            0.009373
                  21,            0.037631,            0.031242,           0.0023273,             0.64439,              0.6647,             0.65302,             0.26624,             0.03926,            0.013177,           0.0014251,             0.00934,             0.00934,             0.00934
                  22,            0.036774,            0.031174,           0.0022021,             0.60643,             0.77237,             0.74814,             0.34489,            0.038038,            0.013175,          0.00066842,            0.009307,            0.009307,            0.009307
                  23,            0.036497,            0.031325,           0.0019911,             0.54205,             0.54381,             0.53741,             0.23766,              0.0446,            0.016422,           0.0013845,            0.009274,            0.009274,            0.009274
                  24,            0.036819,            0.030771,           0.0022028,             0.62917,             0.59392,             0.64859,             0.29624,            0.038211,            0.014879,           0.0011845,            0.009241,            0.009241,            0.009241
                  25,            0.036954,            0.030623,           0.0018435,             0.67535,             0.72893,             0.77882,             0.40404,            0.034651,            0.013443,          0.00077372,            0.009208,            0.009208,            0.009208
                  26,            0.036145,            0.030841,           0.0019817,             0.65319,             0.75849,             0.74863,             0.31519,              0.0375,            0.013466,          0.00077526,            0.009175,            0.009175,            0.009175
                  27,            0.035981,            0.030339,           0.0018965,             0.66974,             0.60659,             0.67066,             0.33925,            0.036696,            0.013815,          0.00065845,            0.009142,            0.009142,            0.009142
                  28,            0.035336,            0.030836,           0.0018647,             0.71213,             0.77507,             0.79513,             0.37864,            0.039244,            0.013568,          0.00067897,            0.009109,            0.009109,            0.009109
                  29,             0.03559,            0.030627,           0.0016602,              0.6753,              0.5291,             0.55406,             0.28606,            0.036608,            0.014647,           0.0020003,            0.009076,            0.009076,            0.009076
                  30,            0.035092,            0.030308,           0.0016903,              0.6799,             0.74048,             0.78863,             0.38917,            0.035488,            0.013341,          0.00079521,            0.009043,            0.009043,            0.009043
                  31,            0.035268,            0.030102,           0.0018139,             0.75316,             0.63132,             0.71814,             0.40013,              0.0366,            0.013883,          0.00072851,             0.00901,             0.00901,             0.00901
                  32,            0.034997,            0.030879,           0.0019209,             0.58297,              0.7232,             0.68602,             0.33147,            0.034357,            0.014261,          0.00079944,            0.008977,            0.008977,            0.008977
                  33,            0.035159,            0.030847,           0.0015026,             0.60703,             0.81324,             0.74907,             0.32535,            0.039388,            0.013575,          0.00062451,            0.008944,            0.008944,            0.008944
                  34,            0.034852,            0.030262,           0.0016411,             0.50055,             0.75487,              0.7087,              0.3501,            0.036214,            0.013766,           0.0025279,            0.008911,            0.008911,            0.008911
                  35,            0.035026,            0.030238,            0.002027,             0.63099,             0.62524,             0.70644,             0.32779,            0.036351,            0.015265,          0.00066051,            0.008878,            0.008878,            0.008878
                  36,            0.034816,             0.02937,           0.0018925,             0.77333,             0.55443,             0.67208,             0.32886,            0.037054,            0.014884,          0.00074983,            0.008845,            0.008845,            0.008845
                  37,            0.035078,            0.030452,           0.0020213,             0.51899,             0.83608,             0.70113,             0.35785,            0.033285,            0.014146,           0.0012925,            0.008812,            0.008812,            0.008812
                  38,            0.035247,            0.031184,           0.0020367,             0.60142,             0.73927,             0.70004,             0.38325,            0.033529,              0.0136,           0.0010793,            0.008779,            0.008779,            0.008779
                  39,            0.035036,            0.030209,           0.0017728,             0.51772,              0.6991,             0.66428,             0.30387,            0.035853,            0.014931,           0.0005613,            0.008746,            0.008746,            0.008746
                  40,            0.034215,            0.030331,           0.0017478,             0.44759,             0.50341,             0.46721,             0.20956,            0.041153,            0.015932,           0.0026674,            0.008713,            0.008713,            0.008713
                  41,             0.03391,            0.029377,           0.0015407,             0.42025,             0.53922,             0.50474,              0.2127,            0.045429,            0.016569,           0.0020827,             0.00868,             0.00868,             0.00868
                  42,            0.034118,            0.029841,           0.0016392,             0.57743,             0.76525,             0.69004,             0.29361,            0.040774,            0.013007,           0.0013804,            0.008647,            0.008647,            0.008647
                  43,            0.034608,            0.030059,           0.0015323,             0.79307,             0.72837,             0.76879,             0.39553,            0.032199,            0.013842,          0.00070855,            0.008614,            0.008614,            0.008614
                  44,            0.034081,            0.030226,           0.0013512,             0.46683,             0.66475,             0.51356,             0.22384,            0.043123,            0.016838,           0.0013133,            0.008581,            0.008581,            0.008581
                  45,            0.033647,            0.029444,           0.0014032,              0.6075,              0.7539,             0.70702,             0.33842,            0.034421,            0.013976,           0.0006803,            0.008548,            0.008548,            0.008548
                  46,            0.033253,            0.028913,           0.0015766,             0.53923,             0.62389,             0.64944,             0.34526,             0.03608,             0.01489,          0.00066672,            0.008515,            0.008515,            0.008515
                  47,            0.033375,            0.029138,            0.001614,             0.86204,             0.56005,              0.7221,             0.35228,            0.035151,            0.013218,           0.0010406,            0.008482,            0.008482,            0.008482
                  48,            0.033583,            0.029145,           0.0017305,             0.62207,             0.69415,             0.72342,             0.32041,            0.034576,            0.014284,           0.0012267,            0.008449,            0.008449,            0.008449
                  49,            0.033746,             0.02995,           0.0013346,             0.65895,              0.8356,             0.76045,             0.33385,             0.03756,            0.013511,          0.00085395,            0.008416,            0.008416,            0.008416
                  50,             0.03326,            0.029194,           0.0013662,             0.67085,             0.62053,             0.66495,             0.29697,            0.045027,            0.015734,          0.00078372,            0.008383,            0.008383,            0.008383
                  51,            0.033275,            0.029265,           0.0015991,             0.61724,             0.77705,             0.73493,             0.40191,            0.032228,            0.014224,          0.00074364,             0.00835,             0.00835,             0.00835
                  52,             0.03323,            0.028959,           0.0015775,             0.63216,             0.68405,             0.69621,             0.32758,            0.036429,            0.014117,          0.00052078,            0.008317,            0.008317,            0.008317
                  53,            0.032932,            0.028917,           0.0017585,             0.76461,             0.77401,             0.84164,              0.4313,            0.034956,            0.012791,          0.00054735,            0.008284,            0.008284,            0.008284
                  54,            0.033076,            0.029125,           0.0014947,             0.66267,             0.73462,             0.75413,             0.42899,            0.035248,            0.013931,          0.00080375,            0.008251,            0.008251,            0.008251
                  55,            0.032746,            0.029195,           0.0016521,             0.50301,             0.71392,             0.66536,             0.36655,            0.032884,            0.013495,          0.00052342,            0.008218,            0.008218,            0.008218
                  56,            0.032703,            0.028833,           0.0012276,             0.59447,             0.58443,             0.58553,             0.30803,             0.03848,            0.015505,          0.00080682,            0.008185,            0.008185,            0.008185
                  57,            0.032673,            0.028463,           0.0013382,             0.56784,             0.76376,             0.72078,             0.36475,            0.034419,            0.013862,          0.00060288,            0.008152,            0.008152,            0.008152
                  58,            0.032453,            0.028538,           0.0013202,              0.8401,             0.64984,             0.79031,             0.37506,            0.035964,            0.014005,          0.00060323,            0.008119,            0.008119,            0.008119
                  59,            0.032161,            0.028733,           0.0011207,             0.69214,             0.67035,             0.77329,              0.3631,            0.039937,            0.013454,          0.00053404,            0.008086,            0.008086,            0.008086
                  60,            0.032296,            0.029496,           0.0014111,             0.80059,             0.65147,             0.71556,             0.34351,            0.037506,            0.014396,           0.0006135,            0.008053,            0.008053,            0.008053
                  61,            0.032093,            0.028588,            0.001141,             0.58395,             0.79522,             0.70335,             0.33244,            0.034619,            0.015263,          0.00050157,             0.00802,             0.00802,             0.00802
                  62,             0.03223,            0.028445,           0.0013459,             0.61463,             0.71131,              0.6879,             0.35641,             0.03793,            0.015591,          0.00041222,            0.007987,            0.007987,            0.007987
                  63,            0.032488,            0.028093,            0.001218,             0.58421,             0.64469,             0.65247,              0.2968,            0.039879,            0.013771,          0.00042249,            0.007954,            0.007954,            0.007954
                  64,            0.032821,            0.028253,           0.0012491,             0.59065,              0.7332,             0.70182,             0.29137,            0.039374,            0.014007,          0.00050541,            0.007921,            0.007921,            0.007921
                  65,            0.032193,            0.028574,            0.001879,             0.58839,             0.70927,             0.65029,             0.36259,            0.035702,            0.014465,          0.00044349,            0.007888,            0.007888,            0.007888
                  66,            0.032317,            0.027715,           0.0012708,              0.5866,             0.67903,             0.66486,             0.33301,            0.036395,            0.015964,          0.00084829,            0.007855,            0.007855,            0.007855
                  67,            0.032171,            0.028347,           0.0015088,             0.63788,             0.64704,             0.71971,              0.3387,            0.037359,            0.013081,          0.00075153,            0.007822,            0.007822,            0.007822
                  68,            0.031759,            0.028612,           0.0015128,             0.65333,             0.71437,             0.70612,             0.35479,            0.033082,            0.014916,          0.00061659,            0.007789,            0.007789,            0.007789
                  69,            0.031651,            0.027961,           0.0011258,             0.68048,             0.82063,             0.77036,             0.39283,            0.035364,            0.014303,          0.00048721,            0.007756,            0.007756,            0.007756
                  70,            0.031548,            0.027829,           0.0011567,             0.67727,             0.80616,             0.74233,             0.36989,            0.038147,            0.014682,          0.00056502,            0.007723,            0.007723,            0.007723
                  71,            0.031746,            0.028741,           0.0013501,             0.60704,             0.67765,             0.73268,             0.34051,            0.035462,            0.013995,          0.00062607,             0.00769,             0.00769,             0.00769
                  72,            0.031085,            0.028348,          0.00098998,             0.70091,             0.62321,             0.60512,             0.27767,            0.037848,              0.0139,          0.00051403,            0.007657,            0.007657,            0.007657
                  73,            0.031556,            0.027579,          0.00095743,             0.69024,             0.67887,             0.72718,             0.35958,            0.035068,            0.014327,          0.00055096,            0.007624,            0.007624,            0.007624
                  74,             0.03122,              0.0272,           0.0011486,             0.93732,             0.61252,             0.73886,             0.37372,            0.035141,            0.014098,          0.00042262,            0.007591,            0.007591,            0.007591
                  75,            0.030944,            0.027564,           0.0012724,             0.82516,             0.73135,             0.81907,              0.4444,            0.034125,            0.013087,          0.00047608,            0.007558,            0.007558,            0.007558
                  76,            0.031332,            0.027978,           0.0010707,             0.66977,             0.79471,             0.78117,             0.41171,            0.034754,            0.014024,          0.00093308,            0.007525,            0.007525,            0.007525
                  77,             0.03112,            0.027072,          0.00098029,             0.63252,             0.70134,             0.67777,             0.33969,            0.037123,            0.014464,          0.00052987,            0.007492,            0.007492,            0.007492
                  78,            0.031115,            0.027626,          0.00091494,             0.61347,              0.7869,             0.67747,             0.36445,            0.037032,            0.015041,          0.00074889,            0.007459,            0.007459,            0.007459
                  79,            0.030672,            0.027109,          0.00090712,             0.79864,             0.63064,             0.63883,             0.30722,             0.03707,            0.015035,           0.0012355,            0.007426,            0.007426,            0.007426
                  80,            0.030789,            0.027495,           0.0013266,             0.64998,             0.81173,             0.76144,             0.34268,            0.038188,            0.014018,          0.00045485,            0.007393,            0.007393,            0.007393
                  81,            0.030982,             0.02809,            0.001292,             0.57678,             0.78963,             0.68489,             0.36497,             0.03424,             0.01392,          0.00032417,             0.00736,             0.00736,             0.00736
                  82,            0.030956,            0.027295,           0.0013366,             0.55508,             0.80681,             0.64654,             0.28986,            0.037069,            0.014188,          0.00036365,            0.007327,            0.007327,            0.007327
                  83,            0.030323,            0.027455,            0.001066,             0.64078,              0.7763,             0.77545,             0.35676,            0.033315,            0.015435,           0.0010138,            0.007294,            0.007294,            0.007294
                  84,            0.030399,            0.027208,           0.0010885,             0.69564,             0.76796,             0.75327,             0.39702,            0.036283,            0.014152,          0.00067493,            0.007261,            0.007261,            0.007261
                  85,              0.0301,            0.027621,          0.00086907,             0.63781,             0.67552,             0.68422,             0.30822,            0.038463,             0.01462,          0.00053092,            0.007228,            0.007228,            0.007228
                  86,            0.030576,            0.027302,              0.0013,              0.7134,             0.62981,             0.69379,             0.33389,            0.037026,            0.014506,          0.00049995,            0.007195,            0.007195,            0.007195
                  87,            0.030636,            0.027391,            0.001278,             0.53565,             0.72441,              0.6386,             0.30461,            0.038376,            0.016596,           0.0012057,            0.007162,            0.007162,            0.007162
                  88,             0.03042,            0.027215,           0.0011519,             0.69805,             0.77415,              0.7235,             0.36085,            0.035835,            0.015471,          0.00044995,            0.007129,            0.007129,            0.007129
                  89,            0.030408,            0.027008,           0.0011732,              0.6273,             0.67039,             0.64371,             0.29858,            0.040171,             0.01478,          0.00047019,            0.007096,            0.007096,            0.007096
                  90,            0.030127,            0.026695,           0.0012765,             0.67042,             0.73996,             0.70256,              0.3674,            0.038245,            0.014097,          0.00043092,            0.007063,            0.007063,            0.007063
                  91,            0.030334,            0.027529,           0.0012776,             0.79624,             0.70973,             0.78421,             0.44692,            0.038051,            0.013291,          0.00039763,             0.00703,             0.00703,             0.00703
                  92,            0.029839,            0.026727,          0.00090772,             0.63936,             0.70844,             0.69417,             0.34003,            0.039612,             0.01375,          0.00038008,            0.006997,            0.006997,            0.006997
                  93,             0.02992,            0.026763,           0.0013066,              0.7344,             0.73355,             0.75101,             0.44405,            0.037299,            0.013893,          0.00050348,            0.006964,            0.006964,            0.006964
                  94,            0.029405,            0.026504,           0.0010162,              0.7628,             0.68761,             0.71975,             0.36229,            0.040593,             0.01388,          0.00032265,            0.006931,            0.006931,            0.006931
                  95,            0.030432,            0.027646,           0.0011598,             0.69327,             0.73166,             0.73819,             0.38186,            0.036703,            0.014002,          0.00038734,            0.006898,            0.006898,            0.006898
                  96,            0.029736,            0.027248,           0.0012316,             0.51618,             0.66257,              0.6352,             0.31544,            0.037481,             0.01661,          0.00049864,            0.006865,            0.006865,            0.006865
                  97,            0.029856,            0.026562,           0.0013526,             0.60094,             0.73462,             0.67436,             0.31833,            0.037585,            0.014605,          0.00037681,            0.006832,            0.006832,            0.006832
                  98,             0.02966,            0.027003,           0.0010688,             0.72434,             0.57763,             0.61639,             0.30752,            0.047483,            0.017752,           0.0013595,            0.006799,            0.006799,            0.006799
                  99,            0.030304,            0.026535,            0.001176,              0.6024,             0.68052,             0.63595,             0.32039,            0.036993,            0.015678,          0.00055876,            0.006766,            0.006766,            0.006766
                 100,            0.029839,            0.025736,           0.0012899,             0.70024,             0.72117,             0.68573,             0.33897,            0.034269,            0.015044,          0.00081877,            0.006733,            0.006733,            0.006733
                 101,            0.029285,            0.026517,          0.00090312,             0.61352,             0.70407,             0.65717,             0.31729,            0.040031,            0.015416,          0.00037905,              0.0067,              0.0067,              0.0067
                 102,             0.02976,            0.026598,           0.0010336,             0.64128,             0.73037,             0.72802,             0.38987,            0.038191,            0.013432,          0.00035132,            0.006667,            0.006667,            0.006667
                 103,             0.02978,            0.026016,          0.00078498,             0.71144,             0.75443,             0.73371,             0.38384,             0.03807,            0.014374,           0.0004681,            0.006634,            0.006634,            0.006634
                 104,            0.029266,            0.025757,          0.00094915,             0.60371,             0.73533,             0.68438,             0.37311,            0.038697,            0.015403,          0.00045465,            0.006601,            0.006601,            0.006601
                 105,            0.029425,             0.02611,           0.0009499,             0.74258,             0.75501,             0.75027,               0.377,            0.039053,            0.015359,          0.00067878,            0.006568,            0.006568,            0.006568
                 106,            0.028682,            0.026046,          0.00082313,             0.61493,             0.79866,             0.71342,              0.3241,            0.041313,            0.014331,          0.00056388,            0.006535,            0.006535,            0.006535
                 107,             0.02898,            0.026196,           0.0010017,              0.5928,             0.74488,             0.67883,             0.28845,            0.039124,            0.016885,          0.00037058,            0.006502,            0.006502,            0.006502
                 108,            0.028952,            0.026307,          0.00091695,             0.75453,             0.71635,             0.72879,             0.36669,              0.0368,            0.015202,          0.00042187,            0.006469,            0.006469,            0.006469
                 109,            0.028652,            0.027172,          0.00078756,             0.74475,             0.74699,              0.7568,             0.40385,            0.037086,            0.014021,          0.00031332,            0.006436,            0.006436,            0.006436
                 110,            0.029176,            0.026475,          0.00088719,             0.78536,             0.73182,             0.78836,             0.40413,            0.038622,              0.0147,          0.00058255,            0.006403,            0.006403,            0.006403
                 111,            0.029057,            0.025794,          0.00096151,             0.68072,             0.67836,             0.68958,             0.32496,            0.042543,            0.015666,          0.00052505,             0.00637,             0.00637,             0.00637
                 112,            0.028974,             0.02661,           0.0010197,             0.63233,               0.815,             0.72618,             0.42471,            0.035851,             0.01419,          0.00041103,            0.006337,            0.006337,            0.006337
                 113,            0.028548,            0.026082,          0.00089512,             0.59284,             0.76607,             0.66555,              0.3024,            0.036541,            0.015009,          0.00036317,            0.006304,            0.006304,            0.006304
                 114,            0.028543,             0.02585,           0.0011854,             0.72573,             0.77333,              0.8299,              0.4551,            0.037195,            0.013042,          0.00037477,            0.006271,            0.006271,            0.006271
